uwi,lease_name,well_name,well_num,operator,rsv_cat,bench,first_prod_date,comp_date,hole_direction,surface_lat,surface_lon
42329458280000,DAVIDSON 42B,DAVIDSON 42B 4HL,4HL,OVV,01PDP,WCB,2023-02-01,2023-02-09,H,31.653751373291016,-102.04054260253906
42003486280000,UNIVERSITY 8-8E B,UNIVERSITY 8-8E B H 9WC,H 9WC,Piedra,01PDP,WCB,2023-12-01,2023-12-01,H,32.39198684692383,-102.35792541503906
42329458240000,FOUR CORNERS 1423 H,FOUR CORNERS 1423 H 203H,203H,FANG,01PDP,WCB,2023-03-01,2023-03-05,H,31.66529655456543,-102.2870101928711
42227418480000,EASTLAND BIG DADDY D,EASTLAND BIG DADDY D 1522LS,1522LS,SM,01PDP,LSS,2023-09-01,2023-09-19,H,32.467384338378906,-101.42301940917969
42227418470000,EASTLAND BIG DADDY C,EASTLAND BIG DADDY C 1543WA,1543WA,SM,01PDP,WCA,2023-09-01,2023-09-18,H,32.46736145019531,-101.42311096191406
42501374060000,BUCKY 711 A,BUCKY 711 A 3H,3H,REI,01PDP,SAN ANDRES,2022-09-01,2022-09-18,H,33.05113983154297,-103.01824188232422
42317445310000,VERNON 252 A,VERNON 252 A 4MS,4MS,OVV,01PDP,MSS,2023-03-01,2023-03-16,H,32.415557861328125,-101.97476959228516
42317445300000,VERNON 252 A,VERNON 252 A 3LS,3LS,OVV,01PDP,LSS,2023-03-01,2023-03-16,H,32.41557693481445,-101.97468566894531
42227418570000,TALL GRASS H,TALL GRASS H 13CF,13CF,OXY,01PDP,CLFK,2023-07-01,2023-07-02,H,32.23158645629883,-101.6688232421875
42003486250000,FEE `CF`,FEE `CF` 408LS,408LS,Fasken oil,01PDP,Dean,2023-12-01,2023-10-17,H,32.28160095214844,-102.30638122558594
42003486190000,UNIVERSITY 8-8E,UNIVERSITY 8-8E H 7WC,H 7WC,Piedra,01PDP,WCB,2023-08-01,2023-08-01,H,32.393333435058594,-102.35206604003906
