well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct
30025410040100,933.5077229485545,23.61250000000109,1,1.0
30025421210000,1107.525915153003,26.04449999999906,1,0.999413416711063
30025426220000,1107.5393301181712,26.04449999999906,1,0.9867462699910002
30025428730000,,,0,
30025437350100,,,0,
30025437530100,863.9912079712425,63.72199999999975,1,0.9999318390647379
30025437540100,,,0,
30025440380100,,,0,
30025449160000,1092.4587808280828,18.165000000000873,1,0.9771640874289413
30025451290000,,,0,
30025453730000,,,0,
30025453890000,,,0,
30025455300000,,,0,
30025456190000,,,0,
30025459330000,,,0,
30025463300000,1092.927904625629,18.165000000000873,1,0.9966713129700215
30025464820000,960.466866914098,37.332722612368826,2,1.0
30025468380000,995.5393233637509,4.480500000000575,1,0.9999999999999998
30025474750100,1031.8117562152688,8.384499999999207,1,0.9955267450161256
30025487440000,787.7224733871484,2.714499999999134,1,0.9167759132903748
30025489820000,902.1690927057168,18.12083417165724,2,1.0
30025494170000,997.9436391850197,4.6876993400497815,2,1.0
30025494180000,964.5568735370811,20.95895090797248,2,1.0
30025494190000,,,0,
30025494800000,1031.8292621064274,8.384499999999207,1,0.9886273898724134
30025494810100,,,0,
30025497080000,759.3031390300296,11.125500000000102,1,0.9860571000885614
30025497750000,,,0,
30025503690000,933.376058237309,23.61250000000109,1,0.7910160226035565
30025507270000,808.02761520687,2.6350000000002183,1,0.9910045539108119
30025507280000,835.176105042638,32.33987686942622,2,1.0
30025507540000,,,0,
30025507790000,859.7582349385021,9.121434369475647,2,1.0
30025507800000,858.4684970215758,3.3343413806195845,2,1.0
30025508220000,,,0,
30025510030000,,,0,
30025511130000,816.5683086050827,17.43522214210685,2,1.0
30025511140000,746.9110888240956,23.224999999999454,1,0.9967510266568521
30025513840000,,,0,
30025516390000,886.6137191443271,5.8602567260184495,2,1.0
30025516420000,1013.4667201568301,0.6050000000004729,1,1.0
30025517710000,987.6448389841166,23.913000000000466,1,0.9856670064237738
42003002890200,,,0,
42003029150100,1035.2118276478705,18.68094158799141,2,1.0
42003029190100,655.1279714844203,9.108052092559818,2,1.0
42003029190200,876.8888857501677,8.79693003467074,2,1.0
42003029720300,,,0,
42003034550100,,,0,
42003034730100,,,0,
42003051650100,,,0,
42003064470100,,,0,
42003377470100,,,0,
42003385010200,,,0,
42003385790000,,,0,
42003385890300,,,0,
42003391530300,,,0,
42003393990000,,,0,
42003395400000,,,0,
42003408300000,,,0,
42003412620000,1275.6836116137367,20.61499999999978,1,0.9992410633415141
42003413300100,939.5919759282566,15.159999999999854,1,0.9996743952527746
42003413310000,1008.9829981895828,7.235000000000582,1,0.9999999999999996
42003416050000,1275.6841882977435,20.61499999999978,1,0.830236362194297
42003416510100,,,0,
42003417200000,,,0,
42003418440000,,,0,
42003419010000,1139.2889117411298,12.155000000000655,1,0.30172007838940146
42003425200000,1201.5023492598068,85.9399999999996,1,0.8787690721321919
42003425500000,828.599208627114,34.20486183337191,2,1.0
42003427170000,1006.0465642120159,7.235000000000582,1,0.7319470012813951
42003427270000,1138.482973225475,73.69000000000051,1,0.9999999999999996
42003428760000,878.3132530092373,37.92117275944351,2,1.0
42003429530000,995.3841793318692,47.36499999999978,1,0.9994385375081599
42003429970000,1235.0886029464277,16.69500000000062,1,0.9999999999999998
42003430790000,1023.6717618066169,75.75606885053615,2,1.0
42003431700100,,,0,
42003432630000,859.9627875427772,69.02916060137312,2,1.0
42003434610100,,,0,
42003434710000,,,0,
42003434750000,,,0,
42003437630000,,,0,
42003438450000,1020.7272010613557,125.35673332862423,2,1.0
42003438800000,,,0,
42003439010000,,,0,
42003439180100,,,0,
42003439510100,,,0,
42003440220100,,,0,
42003440470000,902.0737752235243,85.00902882750636,2,1.0
42003440480000,1186.574028497535,73.01000000000022,1,0.9999999999999998
42003441040000,1229.3401967490906,46.63466493216113,2,1.0
42003441220000,,,0,
42003442240000,1252.1171989331672,14.444999999999709,1,0.9266116177891184
42003442270000,1142.0563568392542,32.258860843869606,2,1.0
42003442780000,,,0,
42003443470000,1142.116962039334,18.220000000000255,1,1.0
42003443480000,1164.7297898404897,29.595000000000255,1,0.9793832836087554
42003443630000,734.1908785700246,2.0349379478145653,2,1.0
42003443637000,593.3348380201452,3.9825000000000723,2,1.0
42003443950000,1126.1188659706547,42.36499999999978,1,0.9901508819897974
42003444430000,,,0,
42003444620000,897.9852047416457,35.48659036363388,2,1.0
42003445740000,,,0,
42003446000000,,,0,
42003446470000,730.657323577295,33.60279920252407,2,1.0
42003446670000,,,0,
42003447060000,487.99647359944464,46.589999999999236,1,1.0
42003447360000,,,0,
42003447880100,,,0,
42003448410000,1164.7833386526847,29.595000000000255,1,0.9999999999999998
42003448570000,,,0,
42003448600000,1239.9890845950636,11.529999999999745,1,0.8768545865880315
42003448730000,1293.4819397808628,16.67500000000109,1,0.999426873106468
42003449260000,,,0,
42003449560000,,,0,
42003449840000,1203.905995836241,41.28350872527164,2,1.0
42003449850000,1185.0409863810978,21.440615945571324,2,1.0
42003449860000,1141.2973857627373,29.329999999999927,1,1.0
42003449870000,1092.8296164834665,9.947795662583074,3,1.0
42003449880000,1121.6755366013203,21.224202292746572,2,1.0
42003450160100,,,0,
42003451570000,875.9095270905304,14.775000000000544,1,0.9999999999999998
42003451900000,703.3364728747623,89.48067124293843,2,1.0
42003451980000,,,0,
42003452010000,1266.9074303342695,2.8400000000001455,1,0.7862695266873223
42003452020000,,,0,
42003452050000,991.2076394793604,93.0122343950672,2,1.0
42003453280000,1278.582684544381,52.89500000000044,1,0.9999999999999998
42003453310000,524.7407977970365,36.39608397368333,3,1.0
42003453310100,67.2395265951433,28.98999999999978,1,0.9786543622709597
42003453310200,109.93922968010135,18.38612329633406,2,0.8168773832713668
42003453320100,1277.850325246587,24.06500000000051,1,0.9981268465450663
42003453330000,,,0,
42003453830000,1183.5879490773427,32.485558622735404,3,1.0
42003455170000,,,0,
42003455200100,,,0,
42003455230000,,,0,
42003455260000,983.1201369392771,28.343791969368944,2,1.0
42003455270000,948.9361205992593,11.695000000000618,1,0.9999999999999997
42003455340000,,,0,
42003455350000,862.3026329003786,32.71885175877155,2,1.0
42003455530000,,,0,
42003455560000,1059.4183851620758,29.645000000000437,1,0.9443095093042503
42003455670000,798.7377426687631,16.139640061961167,2,1.0
42003455740000,,,0,
42003455960000,1223.1152123703216,14.590181037593762,2,1.0
42003456210000,1236.5331851364624,5.6799999999993815,1,0.9664511630302502
42003456220000,,,0,
42003456230000,,,0,
42003456290000,456.8693340022281,11.686446276730655,2,1.0
42003456297000,368.09833697942867,21.30170251875183,2,1.0
42003456300000,1169.4064571351903,60.020474677130885,2,1.0
42003456310000,1196.6255134140063,31.258068128899588,2,1.0
42003456320000,653.2906998970835,21.479627184769093,2,1.0
42003456440000,,,0,
42003456720000,929.8383469323194,39.635776532793464,2,1.0
42003456940000,921.2403980404862,21.44499999999971,1,0.9998299234556148
42003457050000,909.1668490632819,57.92000000000007,1,1.0
42003457180000,638.8572302316059,25.645000000000437,1,0.9506707247884559
42003457220000,1209.829819174698,23.404999999999745,1,0.9935784203650324
42003457390000,1042.8878061779,2.105000000000473,1,0.9720993843170186
42003457410000,,,0,
42003457560000,632.3486422142164,20.511065949653347,2,1.0
42003457560100,191.58528465489402,23.30200000000059,1,0.9961048952367
42003457690000,1141.178832097295,23.06999999999971,1,0.9322778762319516
42003457980000,925.7352862135713,30.840000000000146,1,1.0
42003458170000,947.0769469529401,39.33454656155119,2,1.0
42003458380000,1044.927524315439,18.193181175429654,3,1.0
42003458430000,,,0,
42003458470000,819.5320958466871,17.05500000000029,1,0.9182999649599685
