well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
30025410040100,3,3,2,1.0,0.0,358.51048792321774,2233137.0214154674,12033483.556636801
30025421210000,3,3,3,1.0,0.0,359.0554979504769,2231430.022470853,12028117.926998697
30025426220000,3,3,3,1.0,0.0,356.96953390634155,2230314.526657891,12028104.464980025
30025428730000,3,3,3,1.0,0.0,359.1039912382547,2233194.8785354267,12028197.735960195
30025435920100,1,1,1,1.0,0.0,358.2766442051793,2229724.1169391563,12022667.04804894
30025436820100,1,1,1,1.0,0.0,358.27796586962535,2219075.0501644136,12028111.395281747
30025437350100,2,2,2,1.0,0.0,358.2879731485978,2225330.3493506024,12029465.519958615
30025437530100,4,4,4,1.0,0.0,358.17578189663345,2227092.858205093,12037220.323619612
30025437540100,2,2,2,1.0,0.0,358.85617269068604,2223087.3926151805,12037110.166001935
30025438900000,1,1,1,1.0,0.0,178.1002521185413,2213154.638391724,12080485.374913141
30025440380100,4,4,4,1.0,0.0,358.77558353630866,2227898.7652312424,12029523.348110784
30025449160000,3,3,3,1.0,0.0,356.10510496628785,2227824.907080679,12080756.362710591
30025451290000,3,3,3,1.0,0.0,359.40430905956737,2232338.9878165247,12040132.33780852
30025453730000,3,3,3,1.0,0.0,358.33240727145545,2224594.0248944093,12079442.108175168
30025453890000,2,2,2,1.0,0.0,357.8924400247938,2222460.2295449963,12080678.092735935
30025455300000,5,5,6,1.0,0.0,358.5557544791129,2230284.4391233963,12034971.032830229
30025456190000,3,3,3,1.0,0.0,358.25380522766,2225103.117577334,12037343.9466627
30025459330000,4,3,3,0.75,-1.0,357.6995251936821,2228603.309780477,12044237.403389584
30025463300000,4,4,4,1.0,0.0,358.0987090878157,2226676.046068139,12080759.414667191
30025464820000,5,5,5,1.0,0.0,359.1587055713552,2233121.966837138,12047869.136635052
30025468380000,6,5,5,0.8333333333333334,-1.0,358.1640226636639,2230172.575514046,12047849.479484858
30025474750100,4,4,4,1.0,0.0,178.83899409584845,2228509.904339454,12049123.747251838
30025487440000,5,5,5,1.0,0.0,358.2116279465833,2227430.53789822,12054360.41560373
30025489820000,6,6,6,1.0,0.0,358.8923848842248,2229942.1619928256,12055811.178837663
30025494170000,5,5,5,1.0,0.0,358.4222324725019,2231179.776305101,12047871.961619072
